Temps(s);Force(kN);Contrainte(Mpa);Ouverture vanne (%);Consigne.Consigne;Consigne.Vitesse
36,132356;283,7582038;28,39490014;9,653984454;284,1255907;5,99596834
36,332372;285,1070776;28,52987821;9,691046101;285,3244966;5,99596834
36,532296;286,1326067;28,63250009;9,727992536;286,5242419;5,99596834
36,732256;287,1657228;28,73588116;9,76547513;287,7233336;5,99596834
36,932296;288,5151356;28,87091317;9,802951246;288,9226472;5,99596834
37,132361;289,8927946;29,00877171;9,840157305;290,121571;5,99596834
37,332354;291,1531031;29,1348873;9,87697292;291,3208247;5,99596834
37,532286;292,2608309;29,24573456;9,913886441;292,5200963;5,99596834
37,737322;293,4169258;29,36142179;9,950856033;293,7190141;5,99596834
37,937326;294,728458;29,4926632;9,987912856;294,9180519;5,99596834
38,137284;295,8453159;29,60442409;10,02482067;296,1174674;5,99596834
38,337278;296,8217994;29,70213809;10,06185663;297,3166431;5,99596834
38,537295;298,0441073;29,82445107;10,09939161;298,5161426;5,99596834
38,737254;299,3027535;29,95040032;10,13688982;299,7151264;5,99596834
38,940118;300,3891568;30,0591137;10,17246689;300,8544683;5,99596834
39,137272;301,5621998;30,17649688;10,21201376;302,1137296;5,99596834
39,337272;302,7402959;30,29438569;10,24931175;303,3127973;5,99596834
39,537263;303,9563296;30,41607083;10,28722086;304,5116792;5,99596834
39,737256;305,4585207;30,56639095;10,32496522;305,7109928;5,99596834
39,937375;306,7475103;30,69537658;10,36172518;306,9101805;5,99596834
40,137324;307,9480909;30,81551537;10,39829836;308,1092962;5,99596834
40,337322;309,0221733;30,92299583;10,43489233;309,308298;5,99596834
40,537368;310,1491168;31,03576596;10,47173541;310,5075756;5,99596834
40,737341;311,511033;31,17204915;10,50855621;311,7069372;5,99596834
40,937285;312,6903399;31,29005913;10,54547926;312,9062507;5,99596834
41,137355;313,8903416;31,41013999;10,58240905;314,1052465;5,99596834
41,337299;314,9321623;31,51439212;10,61915867;315,304812;5,99596834
41,539769;316,2199069;31,64325316;10,65625818;316,5037658;5,99596834
41,737295;317,4202908;31,76337227;10,69331731;317,7032173;5,99596834
41,937304;318,5301319;31,874431;10,73044489;318,902387;5,99596834
42,137327;319,9748453;32,01899948;10,76744397;320,1012808;5,99596834
42,337363;320,9378614;32,11536584;10,80451775;321,3078675;5,99596834
42,53752;322,0861067;32,23026758;10,84162861;322,4997581;5,99596834
42,737266;323,3235031;32,35409043;10,87895722;323,6989758;5,99596834
42,937272;324,5331107;32,47513251;10,91606293;324,9577514;5,99596834
43,137318;325,8968093;32,61159407;10,95305478;326,1572868;5,99596834
43,33726;326,8605327;32,70803121;10,99007185;327,3561627;5,99596834
43,537338;328,3584244;32,8579211;11,02736051;328,555878;5,99596834
43,73726;329,6714729;32,98931423;11,06383648;329,7547059;5,99596834
43,937329;330,6776019;33,08999479;11,10000532;330,9541394;5,99596834
44,137317;331,7914577;33,20145526;11,1365427;332,1532372;5,99596834
44,337336;333,0293007;33,3253228;11,17315307;333,3525867;5,99596834
44,542372;334,2394185;33,44641595;11,20987653;334,5514806;5,99596834
44,74231;335,6272753;33,58529494;11,24681406;335,7509921;5,99596834
44,942376;336,6431879;33,68695451;11,28342694;336,9500178;5,99596834
45,142292;337,9190366;33,81462517;11,32021062;338,1489477;5,99596834
45,342261;339,0534682;33,92814461;11,35733517;339,3484951;5,99596834
45,542353;340,2745455;34,05033444;11,39442298;340,5477248;5,99596834
45,742403;341,8473247;34,20771812;11,43147488;341,7470683;5,99596834
45,942315;342,7124854;34,29429236;11,46974499;342,9457463;5,99596834
46,142296;343,7190687;34,39501837;11,50688117;344,14497;5,99596834
46,342262;344,958326;34,51902743;11,5440586;345,3444035;5,99596834
46,542414;346,1141273;34,63468527;11,58120043;346,543885;5,99596834
46,742288;347,4468715;34,7680493;11,61822499;347,7430127;5,99596834
46,942374;348,5624883;34,879686;11,65517539;348,9419485;5,99596834
47,142334;349,8369161;35,00721448;11,69254772;350,1410223;5,99596834
47,342343;350,9232024;35,11591615;11,72949332;351,3402879;5,99596834
47,542397;352,4392819;35,26762604;11,7665166;352,5395655;5,99596834
47,742371;353,4083117;35,36459417;11,8033413;353,7388371;5,99596834
47,942299;354,6879233;35,49264137;11,84042399;354,9382406;5,99596834
48,142313;356,0036215;35,62429966;11,8769442;356,1369187;5,99596834
48,342435;356,9925063;35,72325463;11,91363307;357,3360044;5,99596834
48,54228;358,2469095;35,8487793;11,95087645;358,5351861;5,99596834
48,742344;359,2197134;35,9461251;11,98803504;359,7346196;5,99596834
48,942374;359,7495828;35,99914766;12,02606323;360,9339512;5,99596834
49,142372;360,0104775;36,02525467;12,06643666;362,1333187;5,99596834
49,342304;359,4416589;35,96833457;12,11086276;363,3320987;5,99596834
49,542363;359,802739;36,00446686;12,15987333;364,5315441;5,99596834
49,742316;360,7195669;36,0962113;12,21018168;365,730444;5,99596834
49,942323;361,680261;36,1923453;12,26206174;366,9296437;5,99596834
50,142336;363,1215022;36,33656633;12,31439919;368,1290832;5,99596834
50,342315;364,8057182;36,50510118;12,36494412;369,328121;5,99596834
50,542361;366,2923665;36,65386597;12,41501982;370,5274885;5,99596834
50,742364;367,7104795;36,79577262;12,46443122;371,7267361;5,99596834
50,942431;369,3619024;36,96102596;12,51276393;372,9259298;5,99596834
51,142282;371,0613706;37,13108704;12,55968487;374,1247038;5,99596834
51,342305;372,4949653;37,27454291;12,60485389;375,3239574;5,99596834
51,54235;373,6043155;37,38555252;12,64997258;376,5234089;5,99596834
51,742523;375,2721119;37,5524443;12,69453359;377,7226985;5,99596834
51,942369;376,5744894;37,68276962;12,73823191;378,9219761;5,99596834
52,142284;377,967549;37,82216926;12,78137968;380,1211578;5,99596834
52,342349;379,5768216;37,98320472;12,82311836;381,3202555;5,99596834
52,542359;381,0043619;38,12605474;12,86451237;382,519689;5,99596834
52,742331;382,3985779;38,26557008;12,90524663;383,7183251;5,99596834
52,942283;383,6435362;38,39014962;12,94562004;384,9179624;5,99596834
53,142299;384,882014;38,51408068;12,98534271;386,1167304;5,99596834
53,34231;385,8275393;38,60869679;13,02557737;387,3164097;5,99596834
53,542583;387,0569623;38,73172175;13,06620843;388,5151177;5,99596834
53,742294;388,4174229;38,86785928;13,10647036;389,7147131;5,99596834
53,942454;389,6326398;38,98946269;13,1466306;390,9136849;5,99596834
54,142252;390,9681749;39,123106;13,18666894;392,1130645;5,99596834
54,342684;392,144393;39,2408069;13,22656645;393,3123901;5,99596834
54,54235;393,6142115;39,38788758;13,2660469;394,511134;5,99596834
54,742352;395,2860579;39,55518463;13,30485813;395,712798;5,99596834
54,942342;396,0636132;39,63299244;13,34267212;396,9098571;5,99596834
55,142738;397,4930203;39,77602927;13,38117377;398,1090328;5,99596834
55,342286;398,519229;39,87871914;13,41967964;399,3082864;5,99596834
55,542383;399,7991711;40,00679941;13,45806549;400,5088472;5,99596834
55,742346;401,3834537;40,16533419;13,49549296;401,706278;5,99596834
55,942348;402,2926732;40,25631728;13,53285145;402,9057595;5,99596834
56,16054;402,8073141;40,30781597;13,57083872;404,1045754;5,99596834
56,357271;404,3614371;40,46333277;13,61181882;405,3637168;5,99596834
56,557279;405,6362141;40,59089619;13,65102031;406,5633062;5,99596834
56,757282;406,8162791;40,70898204;13,69008876;407,7626258;5,99596834
56,95727;408,5246254;40,87993154;13,72863664;408,9619334;5,99596834
57,157364;409,4773801;40,97527107;13,76627613;410,1606294;5,99596834
57,357302;410,7834624;41,10596712;13,80355615;411,359847;5,99596834
57,557263;411,8464244;41,21233479;13,84180296;412,5648928;5,99596834
57,758521;413,8982484;41,41765515;13,87986126;413,7592417;5,99596834
57,957368;414,7290945;41,50079563;13,91693425;415,0179753;5,99596834
58,157278;415,2814287;41,55606619;13,95454389;416,2168452;5,99596834
58,362984;416,8114907;41,70917527;13,99294412;417,362297;5,99596834
58,562368;417,9636099;41,82446466;14,03274659;418,6150946;5,99596834
58,762514;418,9733222;41,92550378;14,07101421;419,8178799;5,99596834
58,962787;420,3080243;42,05906374;14,10932117;421,0185066;5,99596834
59,162333;421,650918;42,1934434;14,14644568;422,2126277;5,99596834
59,353233;422,6114063;42,28955681;14,18237625;423,3540742;5,99596834
59,562369;423,9779581;42,42630388;14,22160013;424,6112009;5,99596834
59,762306;425,2583396;42,55442812;14,2593207;425,8100588;5,99596834
59,962314;425,9691281;42,62555476;14,29695194;427,0092644;5,99596834
60,162309;427,3730431;42,76604066;14,33607024;428,2083682;5,99596834
60,364251;428,8119963;42,91003274;14,37270919;429,3481478;5,99596834
60,56231;430,2144154;43,05036894;14,41223978;430,6068634;5,99596834
60,762421;431,192322;43,14822536;14,44958452;431,8065188;5,99596834
60,962362;432,6884594;43,2979397;14,48685729;433,0055086;5,99596834
61,162328;433,9686601;43,42604585;14,52397315;434,2045224;5,99596834
61,362362;434,7560049;43,50483327;14,56121474;435,4039319;5,99596834
61,567307;435,9165716;43,62096797;14,59926226;436,6033055;5,99596834
61,767274;437,4035712;43,76976792;14,6370581;437,8021993;5,99596834
61,967329;438,5076946;43,8802545;14,67451085;439,0011891;5,99596834
62,167346;440,4494157;44,07455717;14,71206467;440,2065586;5,99596834
62,367375;441,1511933;44,14478212;14,74853071;441,3994865;5,99596834
62,567943;442,4504625;44,2747964;14,78490619;442,5992978;5,99596834
62,767497;443,4412246;44,37393923;14,82161869;443,7985034;5,99596834
62,967338;444,5398447;44,48387511;14,85864086;444,9973194;5,99596834
63,167335;445,8990379;44,61988582;14,89574793;446,1967709;5,99596834
63,367388;447,0014834;44,7302045;14,93225496;447,3955088;5,99596834
63,56729;448,3073245;44,86087642;14,96934798;448,5945946;5,99596834
63,767344;449,5286714;44,98309322;15,00648494;449,7938302;5,99596834
63,967345;450,6814266;45,09844626;15,04358629;450,9941511;5,99596834
64,169954;451,5097658;45,18133587;15,08111455;452,2230068;5,99596834
64,374353;452,9690686;45,32736428;15,11817989;453,4108322;5,99596834
64,578243;455,0625709;45,53685527;15,15415287;454,5909586;5,99596834
64,777297;455,3010852;45,56072274;15,19156429;455,8641306;5,99596834
64,977349;456,5583523;45,68653399;15,22723552;457,0492697;5,99596834
65,177322;457,7643607;45,80721592;15,26339523;458,2574273;5,99596834
65,377278;459,0756088;45,93842889;15,29913846;459,4478009;5,99596834
65,58657;459,9983857;46,03076863;15,33315195;460,5867291;5,99596834
65,790729;461,2425109;46,15526481;15,3730977;461,9056923;5,99596834
65,987274;462,448963;46,27599114;15,4105269;463,1316639;5,99596834
66,18734;463,7939083;46,41057611;15,44614862;464,3042175;5,99596834
66,387364;464,7857891;46,50983088;15,48255925;465,503621;5,99596834
66,587319;466,1628692;46,64763148;15,51907342;466,7029886;5,99596834
66,78735;467,5073855;46,78217351;15,55517768;467,9021043;5,99596834
66,987322;468,5508111;46,88658623;15,59132733;469,1010821;5,99596834
67,187371;469,7706007;47,00864722;15,62759422;470,3600436;5,99596834
67,387349;470,8832933;47,11999129;15,6638885;471,5597889;5,99596834
67,587272;471,9619799;47,22793249;15,70068875;472,7584729;5,99596834
67,787378;473,0522472;47,33703252;15,73761556;473,9579424;5,99596834
67,987323;474,131134;47,44499375;15,77493756;475,1568183;5,99596834
68,209428;475,8788334;47,61988119;15,81237692;476,3561199;5,99596834
68,40728;476,731399;47,70519509;15,8527934;477,615651;5,99596834
68,607297;477,9716822;47,8293068;15,8899542;478,8143949;5,99596834
68,80733;479,4124084;47,97347629;15,92697692;480,0136426;5,99596834
69,007296;480,384155;48,07071629;15,96379828;481,2129142;5,99596834
69,207288;481,4389187;48,17626359;16,0012046;482,4123837;5,99596834
69,407286;482,7375495;48,30621398;16,03835515;483,6110437;5,99596834
69,607324;484,0356457;48,43611089;16,07566539;484,8103453;5,99596834
69,807356;485,2253627;48,55516259;16,11259132;486,0097428;5,99596834
70,007319;486,5530366;48,68801925;16,14954454;487,2086966;5,99596834
70,20738;487,8828149;48,82108649;16,18525279;488,4082261;5,99596834
70,407306;488,9032373;48,92319735;16,22173036;489,6075756;5,99596834
70,607352;490,1219825;49,04515381;16,25856181;490,8661834;5,99596834
70,807355;491,6531278;49,19837129;16,29518815;492,0658687;5,99596834
71,007296;492,5670976;49,28982973;16,33136168;493,2651103;5,99596834
71,207278;493,8661021;49,41981752;16,367271;494,4638843;5,99596834
71,40735;494,9267794;49,52595657;16,40333935;495,6632518;5,99596834
71,607315;496,0378076;49,6371341;16,44005405;496,8625235;5,99596834
71,819044;498,1435844;49,84785337;16,47893239;498,0697817;5,99596834
72,017365;498,632188;49,89674658;16,51513403;499,2609887;5,99596834
72,217356;500,1834465;50,05197674;16,55140457;500,4601045;5,99596834
72,423547;500,5012987;50,08378333;16,58554386;501,5990806;5,99596834
72,62232;502,420578;50,27584031;16,62596843;502,9183256;5,99596834
72,822253;503,5113778;50,38499364;16,6622862;504,1177531;5,99596834
73,022275;504,7702694;50,51096745;16,69849637;505,3164671;5,99596834
73,222321;505,9668669;50,63070766;16,73472827;506,5159126;5,99596834
73,422313;506,9769966;50,73178854;16,77095564;507,7150583;5,99596834
73,622357;508,10897;50,845062;16,80772798;508,9145217;5,99596834
73,82429;509,5753673;50,99180033;16,84267401;510,0536058;5,99596834
74,022365;510,5349083;51,08781895;16,8809845;511,3132329;5,99596834
74,222293;511,9501905;51,22944233;16,91760256;512,5122167;5,99596834
74,422291;512,9610056;51,3305918;16,95371433;513,7109187;5,99596834
